address,apn,building_type,stories_total,stories_above,stories_below,units,occupancy_type
2306 28TH ST,4270003009,Soft Story,2,2,0,7,
2251 28TH ST,4270004004,Soft Story,2,2,0,4,
2268 29TH ST,4270004039,Soft Story,2,2,0,4,
2828 PICO BLVD,4270004043,Unreinforced Masonry,1,,,,
2305 28TH ST (2305-2315 28TH ST),4270004045,Soft Story,3,3,0,22,
2401 28TH ST,4270004063,Soft Story,2,2,0,4,
2254 30TH ST,4270005044,Soft Story,2,2,0,6,
2250 30TH ST,4270005045,Soft Story,2,2,0,2.5,
2305 31ST ST,4270007005,Soft Story,2,2,0,5,
2308 32ND ST,4270007043,Soft Story,2,2,0,7,
2329 33RD ST (2331 33RD ST),4270009006,Soft Story,2,2,0,3,
2410 34TH ST,4270009031,Soft Story,2,2,0,4,
2334 34TH ST,4270009036,Soft Story,2,2,0,4,
2429 34TH ST,4270010008,Soft Story,2,2,0,4,
3403 PEARL ST (3401-3403 PEARL ST),4270010011,Soft Story,2,2,0,2,
2525 OCEAN PARK BLVD,4270012048,Steel Moment Frame,2,,,0,
2601 OCEAN PARK BLVD,4270012051,Steel Moment Frame,3,,,0,
2601 OCEAN PARK BLVD,4270012051,Non-Ductile Concrete,2,,,0,Parking Garage
2701 OCEAN PARK BLVD,4270014046,Steel Moment Frame,2,,,0,
2638 28TH ST,4270014048,Soft Story,2,2,0,14,
2636 28TH ST,4270014049,Soft Story,2,2,0,14,
2622 28TH ST,4270014050,Soft Story,2,2,0,8,
2604 28TH ST,4270014052,Soft Story,2,2,0,7,
2502 28TH ST,4270014057,Soft Story,2,2,0,5,
2428 28TH ST,4270014061,Soft Story,2,2,0,12,
2428 28TH ST,4270014062,Soft Story,2,2,0,12,
2428 28TH ST,4270014063,Soft Story,2,2,0,12,
2428 28TH ST,4270014064,Soft Story,2,2,0,12,
2428 28TH ST,4270014065,Soft Story,2,2,0,12,
2428 28TH ST,4270014066,Soft Story,2,2,0,12,
2428 28TH ST,4270014067,Soft Story,2,2,0,12,
2428 28TH ST,4270014068,Soft Story,2,2,0,12,
2428 28TH ST,4270014069,Soft Story,2,2,0,12,
2428 28TH ST,4270014070,Soft Story,2,2,0,12,
2428 28TH ST,4270014071,Soft Story,2,2,0,12,
2428 28TH ST,4270014072,Soft Story,2,2,0,12,
2525 28TH ST,4270015053,Soft Story,2,2,0,5,
2607 28TH ST (2607-2609A 28TH ST),4270015056,Soft Story,2,2,0,4,
2621 28TH ST,4270015060,Soft Story,2,2,0,4,
2645 28TH ST,4270015063,Soft Story,2,2,0,7,
2507 28TH ST,4270015130,Soft Story,3,3,0,4,
2507 28TH ST,4270015131,Soft Story,3,3,0,4,
2507 28TH ST,4270015132,Soft Story,3,3,0,4,
2507 28TH ST,4270015134,Soft Story,3,3,0,4,
3401 OCEAN PARK BLVD,4270017020,Soft Story,3,3,0,23,
2643 CENTINELA AVE,4270017028,Soft Story,3,3,0,48,
2637 CENTINELA AVE,4270017030,Soft Story,2,2,0,30,
2633 CENTINELA AVE,4270017108,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017109,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017110,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017111,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017112,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017113,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017114,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017115,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017116,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017117,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017118,Soft Story,3,3,0,12,
2633 CENTINELA AVE,4270017119,Soft Story,3,3,0,12,
2621 CENTINELA AVE,4270017120,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017121,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017122,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017123,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017124,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017125,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017126,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017127,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017128,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017129,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017130,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017131,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017132,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017133,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017134,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017135,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017136,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017137,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017138,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017139,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017140,Soft Story,3,3,0,22,
2621 CENTINELA AVE,4270017141,Soft Story,3,3,0,22,
2665 32ND ST (2665-2667 32ND ST),4270019051,Soft Story,2,2,0,6,
3007 OCEAN PARK BLVD ,4270021051,Unreinforced Masonry,1,,,,
3011 OCEAN PARK BLVD (3013 OCEAN PARK BLVD),4270021051,Unreinforced Masonry,1,,,,
2666 31ST ST,4270021065,Soft Story,3,3,0,10,
2653 30TH ST (2653-2655 30TH ST),4270021072,Soft Story,2,2,0,7,
2666 31ST ST,4270021073,Soft Story,3,3,0,10,
2666 31ST ST,4270021074,Soft Story,3,3,0,10,
2666 31ST ST,4270021075,Soft Story,3,3,0,10,
2666 31ST ST,4270021076,Soft Story,3,3,0,10,
2666 31ST ST,4270021077,Soft Story,3,3,0,10,
2666 31ST ST,4270021078,Soft Story,3,3,0,10,
2666 31ST ST,4270021079,Soft Story,3,3,0,10,
2666 31ST ST,4270021080,Soft Story,3,3,0,10,
2666 31ST ST,4270021081,Soft Story,3,3,0,10,
1802 OCEAN PARK BLVD,4272001001,Soft Story,2,2,0,7,
1809 OAK ST (1807-1809 OAK ST),4272001007,Soft Story,2,2,0,5,
1817 OAK ST (1817-1819 OAK ST),4272001009,Soft Story,2,2,0,3,
2005 OAK ST,4272001010,Soft Story,2,2,0,4,
2010 OCEAN PARK BLVD (2010-2016 OCEAN PARK BLVD),4272001016,Soft Story,2,2,0,12,
1802 OAK ST,4272002001,Soft Story,2,2,0,7,
2004 OAK ST,4272002005,Soft Story,2,2,0,4,
2019 HILL ST,4272002013,Soft Story,2,2,0,1,
2026 OAK ST,4272002019,Soft Story,2,2,0,6,
2127 OAK ST,4272008012,Soft Story,2,2,0,5,
2117 OAK ST,4272008014,Soft Story,2,2,0,4,
2107 OAK ST,4272008016,Soft Story,2,2,0,5,
2648 23RD ST,4272008018,Soft Story,2,2,0,8,
2211 OAK ST,4272008020,Soft Story,2,2,0,5,
2636 23RD ST,4272008024,Soft Story,2,2,0,8,
2122 OCEAN PARK BLVD,4272008025,Soft Story,2,2,0,16,
2120 OAK ST,4272009004,Soft Story,2,2,0,3,
2128 OAK ST (2130 OAK ST),4272009006,Soft Story,2,2,0,4,
2206 OAK ST,4272009008,Soft Story,2,2,0,6,
2224 OAK ST,4272009022,Soft Story,2,2,0,5,
2134 OAK ST,4272009029,Soft Story,2,2,0,5,
2134 OAK ST,4272009030,Soft Story,2,2,0,5,
2134 OAK ST,4272009031,Soft Story,2,2,0,5,
2134 OAK ST,4272009032,Soft Story,2,2,0,5,
2134 OAK ST,4272009033,Soft Story,2,2,0,5,
2437 HILL ST,4272020008,Soft Story,2,2,0,2,
2462 OAK ST,4272020016,Soft Story,2,2,0,3,
2418 OAK ST,4272020025,Soft Story,2,2,0,6,
2414 OAK ST,4272020026,Soft Story,2,2,0,6,
2402 OAK ST,4272020028,Soft Story,2,2,0,5,
2424 OAK ST (2424-2428 OAK ST),4272020030,Soft Story,2,2,0,12,
2424 OAK ST (2424-2428 OAK ST),4272020031,Soft Story,2,2,0,12,
2424 OAK ST (2424-2428 OAK ST),4272020032,Soft Story,2,2,0,12,
2424 OAK ST (2424-2428 OAK ST),4272020033,Soft Story,2,2,0,12,
2424 OAK ST (2424-2428 OAK ST),4272020034,Soft Story,2,2,0,12,
2424 OAK ST (2424-2428 OAK ST),4272020035,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020036,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020037,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020038,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020039,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020040,Soft Story,2,2,0,12,
2428 OAK ST (2424-2428 OAK ST),4272020041,Soft Story,2,2,0,12,
2310 OCEAN PARK BLVD,4272022002,Soft Story,2,2,0,5,
2347 OAK ST ,4272022010,Soft Story,2,2,0,6,
2329 OAK ST,4272022014,Soft Story,2,2,0,2,
2301 OAK ST,4272022019,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022034,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022035,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022036,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022037,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022038,Soft Story,2,2,0,6,
2343 OAK ST (2345 OAK ST),4272022039,Soft Story,2,2,0,6,
2401 OAK ST,4272023001,Soft Story,2,2,0,4,
2443 OAK ST,4272023009,Soft Story,2,2,0,6,
2470 OCEAN PARK BLVD,4272023015,Soft Story,2,2,0,5,
2408 OCEAN PARK BLVD,4272023031,Soft Story,2,2,0,10,
2410 OCEAN PARK BLVD,4272023036,Soft Story,3,3,0,7,
3223 DONALD DOUGLAS LOOP SOUTH,4272026902,Steel Moment Frame,2,,,0,
2716 OCEAN PARK BLVD,4272029005,Steel Moment Frame,3,,,0,
2850 OCEAN PARK BLVD,4272029008,Steel Moment Frame,3,,,0,
